Código Interno,Regional,Escola,1º Simulado: Participação (%),1º Simulado: Nota,1º Teste de Redação: Participação (%),1º Teste de Redação: Nota,2º Teste de Redação: Participação (%),2º Teste de Redação: Nota,2º Simulado: Participação (%),2º Simulado: Nota,3º Teste de Redação: Participação (%),3º Teste de Redação: Nota,4º Teste de Redação: Participação (%),4º Teste de Redação: Nota,Objetivas - 1º Simulado: Participação (%),Objetivas - 1º Simulado: Acertos (%),Objetivas - 2º Simulado: Participação (%),Objetivas - 2º Simulado: Acertos (%)
25884,METROPOLITANA V,CIEP 476 ELIAS LAZARONI,"71,75%","215,05","60,14%","348,14","60,82%","408,37","65,83%","267,23","61,73%","339,39","51,71%","356,04","71,75%","22,47%","65,83%","19,72%"
25885,METROPOLITANA V,CIEP FILINTO MULLER - BRASIL-CHINA,"100,00%","465,26","97,37%","494,05","97,37%","543,78","97,37%","501,62","92,11%","532,57","94,74%","533,33","100,00%","32,19%","97,37%","23,71%"
25893,METROPOLITANA V,IE GOVERNADOR ROBERTO SILVEIRA,"92,31%","290,34","70,89%","435,98","68,21%","423,67","73,11%","379,55","74,51%","433,19","73,25%","430,95","92,31%","20,37%","73,11%","20,15%"
25363,METROPOLITANA VI,CAIC EUCLYDES DA CUNHA,"94,93%","109,60","96,98%","208,08","36,10%",----,"42,25%","230,92","43,14%","228,70","44,33%","278,03","94,93%","13,53%","42,25%","20,33%"
25364,METROPOLITANA VI,CE ADALGISA MONTEIRO,"65,57%","153,73","58,97%","342,00","51,65%","343,43","58,97%","233,21","50,18%","350,66","0,00%",----,"65,57%","22,92%","58,97%","21,04%"
25365,METROPOLITANA VI,CE AFONSO PENA,"79,83%","285,36","65,13%","381,35","66,86%","429,34","57,35%","362,14","65,13%","359,28","0,58%","260,00","79,83%","24,16%","57,35%","20,35%"
25366,METROPOLITANA VI,CE ALBERTO RANGEL,"41,18%","71,43","20,59%","325,71","21,18%","357,78","64,71%","210,91","27,06%","313,04","21,18%","400,00","41,18%","16,01%","64,71%","19,17%"
25367,METROPOLITANA VI,CE ALINA DE BRITO,"66,13%","60,90","46,77%","315,21","40,97%","340,00","52,58%","272,97","41,94%","393,18","0,00%",----,"66,13%","20,91%","52,58%","19,56%"
25368,METROPOLITANA VI,CE ALMIRANTE TAMANDARE,"36,36%","78,40","29,55%","310,40","19,32%","324,71","22,73%","288,42","22,73%","252,63","0,00%",----,"36,36%","17,97%","22,73%","20,86%"
25369,METROPOLITANA VI,CE ANDRE MAUROIS,"30,94%",----,"59,25%","431,63","38,81%","495,79","59,79%","380,96","31,43%","424,05","0,00%",----,"30,94%","25,01%","59,79%","21,32%"
25370,METROPOLITANA VI,CE ANTONIO PRADO JUNIOR,"66,52%","305,94","60,24%","364,10","53,27%",----,"30,34%","250,69","57,76%","342,68","0,29%",----,"66,52%","25,49%","30,34%","20,58%"
25371,METROPOLITANA VI,CE ARTHUR ANTONIO SENDAS,"45,59%","115,02","1,47%",----,"2,50%",----,"0,00%",----,"0,00%",----,"0,00%",----,"45,59%","21,87%","0,00%",----
25372,METROPOLITANA VI,CE AUGUSTO RUSCHI,"73,53%","209,25","55,88%",----,"43,90%",----,"48,39%","253,33","46,34%",----,"0,00%",----,"73,53%","23,09%","48,39%","20,21%"
25373,METROPOLITANA VI,CE BRIGADEIRO SCHORCHT,"48,67%","228,27","56,83%","312,91","52,93%","333,48","50,31%","194,97","33,22%","332,73","0,09%",----,"48,67%","23,48%","50,31%","19,70%"
25374,METROPOLITANA VI,CE CARDEAL DOM EUGENIO DE ARAUJO SALES,"20,95%","6,32","0,00%",----,"40,88%","234,38","47,64%","69,04","0,34%","440,00","38,51%","330,62","20,95%","19,74%","47,64%","19,74%"
25375,METROPOLITANA VI,CE CARLOS LACERDA,"68,21%","117,52","65,90%","309,82","63,01%","391,85","62,43%","286,32","48,55%","343,81","0,00%",----,"68,21%","21,97%","62,43%","19,51%"
25376,METROPOLITANA VI,CE CASTELNUOVO,"76,07%","90,61","34,19%","274,00","17,68%","434,48","2,60%","0,00","18,29%","338,67","0,00%",----,"76,07%","11,48%","2,60%","17,41%"
25377,METROPOLITANA VI,CE CHICO ANYSIO,"85,79%","448,99","81,22%","478,49","64,47%","492,38","75,13%","470,32","67,51%","530,61","0,51%","600,00","85,79%","30,29%","75,13%","22,40%"
25378,METROPOLITANA VI,CE CHIQUINHA GONZAGA,"92,73%","207,41","55,45%","305,57","55,45%","400,00","46,36%","327,83","47,27%","306,92","0,00%",----,"92,73%","16,92%","46,36%","20,19%"
25379,METROPOLITANA VI,CE COMPOSITOR LUIZ CARLOS DA VILA,"64,85%","221,40","46,29%","364,71","45,33%","406,14","50,97%","213,71","38,86%","363,84","0,00%",----,"64,85%","24,29%","50,97%","19,99%"
25380,METROPOLITANA VI,CE COMPOSITOR LUIZ GONZAGA,"63,10%","123,40","41,18%",----,"38,21%","379,02","53,94%","85,85","41,04%","317,59","0,00%",----,"63,10%","21,06%","53,94%","19,25%"
25381,METROPOLITANA VI,CE DELFIM MOREIRA,"69,52%","107,09","28,88%","296,30","45,99%","348,24","56,68%","215,00","53,48%","337,14","0,53%","560,00","69,52%","19,90%","56,68%","19,49%"
25382,METROPOLITANA VI,CE DEODORO,"46,88%","210,66","31,25%","344,00","22,81%","347,70","62,22%","217,14","49,12%","57,14","0,00%",----,"46,88%","22,43%","62,22%","18,62%"
25383,METROPOLITANA VI,CE EDUARDO MONDLANE,"74,92%","148,35","56,80%","281,08","59,52%","250,57","0,00%",----,"50,76%","287,90","0,00%",----,"74,92%","19,66%","0,00%","15,56%"
25384,METROPOLITANA VI,CE EMBAIXADOR DIAS CARNEIRO,"74,21%","151,49","57,37%","299,44","48,42%","349,78","64,74%","189,67","62,11%","356,21","0,00%",----,"74,21%","21,98%","64,74%","20,83%"
25385,METROPOLITANA VI,CE ENGENHEIRO BERNARDO SAYAO,"58,62%","122,35","40,00%","319,32","29,89%","352,03","47,06%","190,01","21,74%","238,96","0,00%",----,"58,62%","20,84%","47,06%","18,68%"
25386,METROPOLITANA VI,CE EUNICE WEAVER,"78,77%","133,17","62,26%","356,77","55,66%","427,12","57,55%","327,38","45,75%","422,99","10,38%","345,45","78,77%","21,36%","57,55%","20,57%"
25387,METROPOLITANA VI,CE FINLANDIA,"75,56%","158,68","68,44%","322,35","60,25%","328,28","66,39%","300,90","47,54%","368,77","0,41%","160,00","75,56%","22,31%","66,39%","20,41%"
25388,METROPOLITANA VI,CE FRANCISCO CAMPOS,"69,57%","291,68","39,13%","413,33","21,70%","433,04","64,63%","394,50","21,70%","438,61","0,00%",----,"69,57%","20,31%","64,63%","19,29%"
25389,METROPOLITANA VI,CE FREDERICO EYER,"63,64%","68,57","0,00%",----,"22,45%","309,09","47,37%","165,71","16,33%","200,00","22,45%","320,00","63,64%","22,90%","47,37%","21,33%"
25390,METROPOLITANA VI,CE GENERAL CARLOS CAETANO MIRAGAYA,"77,78%","36,19","96,30%","12,80","48,39%","62,67",Não Participou,Não Encontrado,"4,84%","413,33","1,61%","200,00","77,78%","6,62%",Não Participou,----
25391,METROPOLITANA VI,CE GILSON AMADO,"69,83%","119,02","47,12%","289,02","48,81%","388,29","51,53%","179,03","41,36%","333,55","0,34%","400,00","69,83%","14,35%","51,53%","18,96%"
25392,METROPOLITANA VI,CE GOLDA MEIR,"86,84%","135,36","35,96%","379,51","41,01%","376,48","38,71%","177,01","30,22%","360,00","0,00%",----,"86,84%","13,66%","38,71%","17,84%"
25393,METROPOLITANA VI,CE GONCALVES DIAS,"44,07%","258,33","54,24%","427,94","99,15%","169,23","66,10%","273,60","59,32%","441,74","0,00%",----,"44,07%","22,54%","66,10%","19,42%"
25394,METROPOLITANA VI,CE HERBERT DE SOUZA,"89,69%","222,82","93,72%","270,24","81,94%","279,85","90,67%","215,66","93,06%","227,01","0,35%",----,"89,69%","20,22%","90,67%","14,63%"
25395,METROPOLITANA VI,CE HONDURAS,"48,57%","68,24","42,86%","280,00","13,40%","381,54","54,84%","277,65","12,37%","310,00","0,00%",----,"48,57%","13,75%","54,84%","18,87%"
25396,METROPOLITANA VI,CE IGNACIO AZEVEDO DO AMARAL,"93,61%","431,45","75,83%","488,50","76,46%","550,73","68,29%","503,94","69,84%","513,96","0,26%",----,"93,61%","26,59%","68,29%","21,96%"
25397,METROPOLITANA VI,CE INFANTE DOM HENRIQUE,"91,75%","184,75","98,23%","283,45","51,43%","414,97","70,91%","331,25","59,87%","363,85","0,51%",----,"91,75%","16,95%","70,91%","20,75%"
25398,METROPOLITANA VI,CE JOAO ALFREDO,"49,71%","172,61","32,31%","353,13","39,96%","333,29","0,60%","226,67","32,73%","391,25","0,36%",----,"49,71%","22,42%","0,60%","18,15%"
25399,METROPOLITANA VI,CE JORNALISTA MAURÍCIO AZÊDO - BRASIL-ÍNDIA,"94,62%","270,91","81,72%","384,74","84,95%","404,62","92,47%","346,51","92,47%","426,82","0,00%",----,"94,62%","27,68%","92,47%","22,10%"
25400,METROPOLITANA VI,CE JOSE LEITE LOPES,"100,00%","450,00","24,54%","544,91","95,83%","484,64","93,98%","378,92","94,44%","441,76","0,00%",----,"100,00%","30,30%","93,98%","20,23%"
25401,METROPOLITANA VI,CE JULIA KUBITSCHEK,"95,43%","261,38","0,42%",----,"88,95%","270,82","93,71%","108,43","96,25%","261,71","0,19%",----,"95,43%","16,19%","93,71%","5,74%"
25402,METROPOLITANA VI,CE MAHATMA GANDHI,"71,22%","163,43","60,43%","373,55","42,19%","445,06","52,17%","218,50","18,99%",----,"0,00%",----,"71,22%","21,48%","52,17%","19,57%"
25404,METROPOLITANA VI,CE MARECHAL CANROBERT PEREIRA DA COSTA,"58,49%","273,64","54,72%","315,87","43,28%","360,00","42,59%","257,51","49,25%","373,84","0,00%",----,"58,49%","22,95%","42,59%","20,76%"
25405,METROPOLITANA VI,CE MEM DE SA,"91,18%","21,94","32,35%","250,91","64,71%","329,09","55,88%","271,11","58,82%","394,00","0,00%",----,"91,18%","21,65%","55,88%","24,65%"
25406,METROPOLITANA VI,CE MEXICO,"82,35%","205,72","88,24%","314,66","30,00%","416,67","40,00%","349,34","37,50%","456,00","0,00%",----,"82,35%","16,88%","40,00%","21,21%"
25407,METROPOLITANA VI,CE MONTEIRO DE CARVALHO,"57,62%","177,81","68,87%","366,09","51,53%","389,22","75,40%","291,69","39,29%",----,"0,00%",----,"57,62%","21,99%","75,40%","20,28%"
25408,METROPOLITANA VI,CE NILO PECANHA,"89,47%","205,88","34,21%","320,00","42,11%","327,50","52,63%","252,50","26,32%","320,00","0,00%",----,"89,47%","22,43%","52,63%","25,31%"
25409,METROPOLITANA VI,CE OLAVO BILAC,"18,03%","201,01","39,01%","387,00","44,65%","429,68","28,45%","206,86","59,30%","374,22","0,00%",----,"18,03%","23,13%","28,45%","20,08%"
25410,METROPOLITANA VI,CE PAULO DE FRONTIN,"4,41%","91,58","40,44%","335,76","32,96%","368,44","45,26%","215,68","24,24%",----,"0,00%",----,"4,41%","15,17%","45,26%","18,81%"
25411,METROPOLITANA VI,CE PEDRO ALVARES CABRAL,"80,80%","248,21","66,18%","419,23","64,53%","445,49","57,77%","327,76","59,23%","447,95","0,37%","80,00","80,80%","24,13%","57,77%","20,35%"
25412,METROPOLITANA VI,CE PRESIDENTE JOAO GOULART,"55,63%","138,80","61,59%","358,28","59,60%","382,67","61,59%","303,90","52,98%","386,50","0,00%",----,"55,63%","22,70%","61,59%","20,43%"
25413,METROPOLITANA VI,CE PROFESSOR ANTONIO MARIA TEIXEIRA FILHO,"84,68%","301,69","71,37%","443,39","74,60%","443,91","75,40%","407,95","84,27%","370,33","0,40%","0,00","84,68%","25,76%","75,40%","20,98%"
25414,METROPOLITANA VI,CE PROFESSOR CLOVIS SALGADO,"58,53%","187,08","41,47%","360,45","43,32%","380,43","43,32%","256,00","47,93%","354,46","0,00%",----,"58,53%","20,76%","43,32%","20,50%"
25415,METROPOLITANA VI,CE PROFESSOR ERNESTO FARIA,"66,43%","212,29","0,00%",----,"59,14%","406,59","36,20%","313,40","56,99%","484,03","0,72%","360,00","66,43%","22,06%","36,20%","22,30%"
25416,METROPOLITANA VI,CE PROFESSORA MARIA TEREZINHA DE CARVALHO MACHADO,"67,08%",----,"63,45%","396,94","61,55%","390,40","65,07%","407,13","53,70%","390,95","0,46%",----,"67,08%","22,85%","65,07%","20,09%"
25417,METROPOLITANA VI,CE REVERENDO HUGH CLARENCE TUCKER,"83,04%","89,94","84,38%","223,61","49,11%","451,59","57,59%","199,64","47,77%","496,33","0,45%","560,00","83,04%","12,82%","57,59%","21,54%"
25418,METROPOLITANA VI,CE ROSA DO POVO,"29,26%","39,40","52,66%","243,23","48,61%","330,53","53,25%","120,95","42,13%",----,"0,46%",----,"29,26%","21,33%","53,25%","19,74%"
25419,METROPOLITANA VI,CE SARMIENTO,"40,70%","231,26","17,44%","512,00","22,69%","265,18","47,92%","64,42","14,29%",----,"0,84%",----,"40,70%","21,79%","47,92%","19,77%"
25420,METROPOLITANA VI,CE SENADOR TEOTONIO VILELA,"57,38%","253,75","48,36%","400,00","40,98%","426,12","58,20%","176,72","46,72%","396,49","0,00%",----,"57,38%","23,77%","58,20%","28,57%"
25421,METROPOLITANA VI,CE SENOR ABRAVANEL,"64,66%",----,"24,63%","345,19","30,77%",----,"28,43%","369,81","28,85%","376,70","0,38%",----,"64,66%","24,18%","28,43%","20,11%"
25422,METROPOLITANA VI,CE SOARES PEREIRA,"69,84%","97,64","57,14%","310,00","35,16%","391,56","61,64%","272,84","41,76%","409,80","0,00%",----,"69,84%","22,40%","61,64%","20,26%"
25423,METROPOLITANA VI,CE SOUZA AGUIAR,"65,22%","245,21","61,86%","440,52","56,92%","410,17","60,08%","254,77","62,45%","360,38","0,40%","480,00","65,22%","25,23%","60,08%","20,08%"
25424,METROPOLITANA VI,CE STELLA MATUTINA,"77,25%","178,74","69,31%","353,40","61,97%","400,90","52,88%","312,04","48,05%","384,85","37,18%",----,"77,25%","24,07%","52,88%","20,66%"
25425,METROPOLITANA VI,CE TEOFILO MOREIRA DA COSTA,"75,77%","312,45","22,91%","314,51","25,55%","400,00","48,02%","330,40","34,36%","387,57","0,00%",----,"75,77%","22,06%","48,02%","18,15%"
25426,METROPOLITANA VI,CE TOMAS ANTONIO GONZAGA,"29,03%","64,92","41,94%","322,05","33,33%","310,00","28,38%",----,"25,83%","374,19","0,00%",----,"29,03%","3,37%","28,38%","19,58%"
25427,METROPOLITANA VI,CE VICENTE JANNUZZI,"84,05%","306,73","57,27%","426,70","66,92%","437,14","60,25%","338,89","50,41%","449,46","41,34%",----,"84,05%","22,35%","60,25%","20,30%"
25428,METROPOLITANA VI,CE VICTOR HUGO,"64,74%","160,86","0,00%",----,"49,51%","400,00","43,48%","360,66","1,47%",----,"0,49%",----,"64,74%","22,15%","43,48%","20,26%"
25433,METROPOLITANA VI,CIEP 205 FREI AGOSTINHO FINCIAS,"53,77%",----,"58,49%","291,62","45,56%","408,85","47,50%","182,30","44,35%",----,"0,00%",----,"53,77%","22,15%","47,50%","19,81%"
25434,METROPOLITANA VI,CIEP 241 NACAO MANGUEIRENSE GOVERNADOR LEONEL DE MOURA BRIZOLA,"57,77%","198,25","0,00%",----,"59,66%","404,10","10,92%","283,92","14,29%","384,71","0,00%",----,"57,77%","22,44%","10,92%","19,63%"
25435,METROPOLITANA VI,CIEP 303 GP AYRTON SENNA,"58,56%","189,43","54,47%","331,64","48,99%","373,25","47,87%","243,96","46,09%","347,66","0,43%",----,"58,56%","22,67%","47,87%","19,89%"
25436,METROPOLITANA VI,CIEP 321 DOUTOR ULYSSES GUIMARAES,"75,53%","231,20","32,18%","417,63","60,84%","420,86","53,86%","270,69","58,12%","127,55","0,00%",----,"75,53%","23,52%","53,86%","20,45%"
25894,METROPOLITANA VII,CAIC 1003 DONA DARCY VARGAS,"71,95%","292,76","56,71%","384,09","68,29%","462,59","59,15%","364,84","68,90%","450,00","56,10%","453,63","71,95%","22,77%","59,15%","21,42%"
25956,METROPOLITANA VII,CE AGOSTINHO PORTO,"63,46%","207,82","53,21%","404,43","40,00%","411,35","51,74%","261,58","55,68%","376,14","54,59%","385,94","63,46%","21,15%","51,74%","20,49%"
25895,METROPOLITANA VII,CE ALICE PACCINI GELIO,"86,16%","358,76","81,70%","417,36","88,39%","442,23","82,59%","398,46","82,14%","428,89","78,13%","410,87","86,16%","26,84%","82,59%","22,10%"
25933,METROPOLITANA VII,CE ANA NERI,"58,26%",----,"52,17%",----,"39,77%","335,04","52,85%","189,93","37,43%","355,42","35,67%","336,43","58,26%","21,24%","52,85%","21,44%"
25944,METROPOLITANA VII,CE ANTONIO FIGUEIRA DE ALMEIDA,"73,55%","272,46","65,44%","372,24","47,31%","368,49","45,84%","305,91","57,11%","335,90","47,42%","421,47","73,55%","23,08%","45,84%","20,46%"
25957,METROPOLITANA VII,CE ANTONIO GONCALVES,"84,38%","278,86","63,36%","396,13","57,26%","423,94","68,09%","364,71","71,24%","420,39","64,78%","457,86","84,38%","22,56%","68,09%","20,20%"
25945,METROPOLITANA VII,CE AYDANO DE ALMEIDA,"72,10%","277,20","59,61%","404,91","62,17%","412,08","50,64%","321,18","64,53%","405,57","62,07%","377,45","72,10%","23,99%","50,64%","21,43%"
25896,METROPOLITANA VII,CE BAIRRO JARDIM AMERICA,"71,79%","171,33","58,93%","370,99","52,66%","412,44","49,22%","230,67","58,31%","432,57","45,45%","398,30","71,79%","22,52%","49,22%","19,71%"
25897,METROPOLITANA VII,CE BAIRRO NOVA AURORA,"77,82%","302,08","71,37%","434,77","77,82%","435,60","75,40%","384,78","66,13%","430,98","78,23%","471,96","77,82%","23,37%","75,40%","20,97%"
25946,METROPOLITANA VII,CE BERTHA D ALESSANDRO,"60,91%","168,46","47,73%","400,48","51,24%","446,50","60,82%","397,26","40,68%","404,02","40,37%","422,84","60,91%","21,73%","60,82%","19,92%"
25898,METROPOLITANA VII,CE BOM PASTOR,"81,25%","265,63","80,47%","370,59","51,56%","432,12","72,66%","325,22","72,66%","445,59","64,06%","451,22","81,25%","22,74%","72,66%","19,66%"
25899,METROPOLITANA VII,CE BRANDAO MONTEIRO,"57,49%","132,49","45,51%","296,65","43,22%","325,58","54,15%","263,31","40,70%","341,68","43,22%","334,39","57,49%","20,64%","54,15%","19,41%"
25934,METROPOLITANA VII,CE BRASIL,"69,32%","350,83","60,26%","459,80","68,00%","509,22","76,92%","362,46","69,67%","484,61","65,00%","459,03","69,32%","24,84%","76,92%","21,00%"
25958,METROPOLITANA VII,CE CAETANO BELLONI,"91,30%","102,31","47,83%","377,69","53,04%","393,45","57,39%","220,33","48,70%","346,40","38,26%","321,03","91,30%","11,67%","57,39%","20,06%"
25959,METROPOLITANA VII,CE CASEMIRO MEIRELLES,"75,86%","260,61","68,97%","372,67","63,96%","375,47","72,34%","330,00","67,57%","312,84","64,86%","366,21","75,86%","23,59%","72,34%","20,00%"
25935,METROPOLITANA VII,CE DOM PEDRO I,"68,43%","188,89","58,06%","309,90","54,30%","331,30","62,03%","186,65","53,91%","320,18","57,23%","330,77","68,43%","22,08%","62,03%","19,31%"
25960,METROPOLITANA VII,CE DOUTOR ANIBAL VIRIATO DE AZEVEDO,"95,31%","251,80","75,00%","436,60","84,38%","469,43","78,13%","202,45","68,75%","408,57","65,63%","477,14","95,31%","19,47%","78,13%","20,93%"
25961,METROPOLITANA VII,CE DOUTOR OSCAR PIMENTA SOARES,"71,71%","170,87","55,59%","365,33","57,57%","379,42","54,93%","251,29","66,45%","320,00","58,55%","281,63","71,71%","21,46%","54,93%","19,47%"
25962,METROPOLITANA VII,CE DUQUE COSTA,"69,34%","299,89","61,60%","389,24","63,44%","408,27","45,50%","332,89","52,30%","391,20","50,85%","373,59","69,34%","25,35%","45,50%","20,79%"
25963,METROPOLITANA VII,CE GOVERNADOR ROBERTO SILVEIRA,"77,44%","263,00","68,29%","386,42","67,07%","414,18","71,34%","263,65","60,98%","377,20","70,73%","378,62","77,44%","23,00%","71,34%","19,51%"
25900,METROPOLITANA VII,CE GUSTAVO BARROSO,"83,52%","284,53","86,26%","401,81","82,97%","430,27","79,12%","323,39","79,12%","425,63","77,47%","435,11","83,52%","24,24%","79,12%","19,82%"
25964,METROPOLITANA VII,CE HILTON GAMA,"77,36%","239,54","56,39%","360,00","55,97%","397,13","62,47%","360,32","50,94%","406,31","54,72%","429,19","77,36%","23,31%","62,47%","21,03%"
25901,METROPOLITANA VII,CE JARDIM GLAUCIA,"77,38%","218,60","62,50%","377,86","69,64%","398,57","72,62%","293,78","70,83%","398,29","71,43%","413,68","77,38%","22,31%","72,62%","20,43%"
25902,METROPOLITANA VII,CE JARDIM IPE,"80,35%","199,22","71,18%","382,43","74,24%","463,46","65,50%","358,37","70,74%","385,10","42,36%","404,30","80,35%","23,72%","65,50%","19,92%"
25965,METROPOLITANA VII,CE JARDIM MERITI,"71,26%","284,61","60,30%","420,19","63,29%","424,37","61,25%","334,67","60,53%","360,56","59,61%","395,75","71,26%","24,25%","61,25%","20,50%"
25947,METROPOLITANA VII,CE JOÃO CARDOSO - BRASIL-ARGENTINA,"66,42%","129,08","54,74%","238,51","31,69%","294,26","38,78%","237,24","49,18%","303,22","56,28%","312,95","66,42%","21,51%","38,78%","20,43%"
25948,METROPOLITANA VII,CE JOAQUIM DE ALMEIDA FLORES,"65,33%","297,46","48,00%","367,19","50,27%","343,16","57,42%","315,71","48,09%","384,81","54,10%","403,29","65,33%","21,16%","57,42%","20,45%"
25966,METROPOLITANA VII,CE JOSÉ DO PATROCÍNIO,"80,84%","304,97","58,88%","408,09","63,36%","402,71","70,27%","275,81","56,47%","390,11","61,64%","340,55","80,84%","24,67%","70,27%","20,34%"
25903,METROPOLITANA VII,CE MARCILIO DIAS,"75,00%","170,75","31,82%","312,20","62,12%","344,88","65,15%","292,68","65,15%","381,20","59,09%","369,74","75,00%","21,23%","65,15%","19,69%"
25949,METROPOLITANA VII,CE MARECHAL ZENOBIO DA COSTA,"86,48%","290,87","68,85%","381,42","55,11%","448,51","67,84%","331,52","63,50%","372,21","38,32%","447,23","86,48%","24,00%","67,84%","21,75%"
25904,METROPOLITANA VII,CE NOVA ALVORADA,"78,95%","201,89","67,25%","388,07","80,70%","391,88","69,59%","282,09","74,27%","390,48","73,68%","394,88","78,95%","23,32%","69,59%","20,14%"
25950,METROPOLITANA VII,CE NUTA BARTHLET JAMES,"72,40%","183,29","48,40%","312,34","37,63%","432,65","49,80%","199,93","50,52%","352,73","39,02%","297,65","72,40%","22,47%","49,80%","19,91%"
25905,METROPOLITANA VII,CE PARQUE AMORIM,"81,08%","287,50","64,41%","395,24","77,48%","432,51","74,77%","370,62","74,77%","398,55","75,68%","422,38","81,08%","25,26%","74,77%","21,90%"
25906,METROPOLITANA VII,CE PAULINO BARBOSA,"76,79%","282,02","64,73%","395,16","47,77%","453,49","67,12%","390,70","42,96%","407,11","45,02%","464,74","76,79%","23,44%","67,12%","20,32%"
25967,METROPOLITANA VII,CE PEDRO ALVARES CABRAL,"60,98%","211,55","49,04%","422,71","59,06%","468,45","53,30%","312,07","60,77%","481,41","59,49%","509,06","60,98%","24,84%","53,30%","20,91%"
25936,METROPOLITANA VII,CE PIERRE PLANCHER,"70,62%","228,72","51,04%","338,35","50,45%","378,31","64,69%","220,78","77,45%","428,28","73,29%","415,02","70,62%","23,10%","64,69%","19,85%"
25937,METROPOLITANA VII,CE POETA MARIO QUINTANA,"70,37%","202,35","55,56%","386,67","66,67%","402,22","55,56%","493,33","74,07%","402,00","55,56%","480,00","70,37%","22,25%","55,56%","21,73%"
25938,METROPOLITANA VII,CE PRESIDENTE CASTELO BRANCO,"52,65%","330,28","49,41%","384,19","47,65%","423,85","50,29%","394,17","39,71%","416,59","47,06%","427,75","52,65%","25,94%","50,29%","21,37%"
25907,METROPOLITANA VII,CE PRESIDENTE JOAO GOULART,"79,20%","177,55","58,40%","403,84","57,60%","422,78","60,80%","207,03","44,00%","314,91","68,80%","453,02","79,20%","21,86%","60,80%","20,87%"
25908,METROPOLITANA VII,CE PRESIDENTE KENNEDY,"69,55%","352,21","59,70%","421,01","57,61%","499,37","65,07%","369,35","62,39%","456,35","59,70%","461,43","69,55%","25,83%","65,07%","20,94%"
25909,METROPOLITANA VII,CE PROFESSOR ANDRE CAVALCANTE DE CARVALHO,"78,67%","475,88","84,27%","468,37","81,60%","508,03","63,73%","460,42","72,00%","527,49","81,87%","504,74","78,67%","25,83%","63,73%","21,94%"
25951,METROPOLITANA VII,CE PROFESSOR MÁRIO CAMPOS,"77,78%","59,49","59,03%",----,"45,83%","335,94","47,67%",----,"44,79%","313,78","38,54%",----,"77,78%","20,95%","47,67%","21,08%"
25968,METROPOLITANA VII,CE PROFESSOR MURILO BRAGA,"67,74%","244,12","51,36%","396,44","53,60%","394,64","53,52%","254,32","45,35%","348,89","43,65%","346,08","67,74%","23,43%","53,52%","20,45%"
25952,METROPOLITANA VII,CE PROFESSOR UBIRATAN REIS BARBOSA,"92,24%","137,26","62,07%","394,44","41,38%","376,00","52,76%","221,69","55,17%","391,58","53,10%","366,60","92,24%","13,91%","52,76%","19,05%"
25969,METROPOLITANA VII,CE PROFESSORA ALZIRA DOS SANTOS DA SILVA,"67,15%","231,11","45,99%","378,06","63,46%","448,08","70,51%","346,23","50,00%","440,00","47,44%","410,41","67,15%","21,22%","70,51%","19,86%"
25970,METROPOLITANA VII,CE PROFESSORA FRANCISCA JEREMIAS DA SILVEIRA MENEZES,"82,39%","165,38","60,38%","354,55","75,79%","371,21","66,35%","262,67","70,75%","328,14","66,04%","370,98","82,39%","23,67%","66,35%","20,16%"
25971,METROPOLITANA VII,CE PROFESSORA REGINA CELIA DOS REIS OLIVEIRA,"92,68%","169,20","70,73%","360,48","97,56%","169,15","59,35%","298,24","66,67%","431,60","69,11%","452,38","92,68%","18,03%","59,35%","21,09%"
25972,METROPOLITANA VII,CE PROFESSORA SANDRA MARIA SANTOS DE SOUSA,"77,78%","296,43","86,11%","404,14","87,50%","461,33","80,56%","366,43","88,89%","439,33","86,11%","444,07","77,78%","25,53%","80,56%","20,01%"
25910,METROPOLITANA VII,CE RICARDA LEON,"70,00%","269,64","57,50%","416,96","69,77%","456,07","43,60%","365,71","55,81%","451,37","59,88%","449,02","70,00%","23,71%","43,60%","20,78%"
25973,METROPOLITANA VII,CE RUBENS FARRULLA,"65,65%","122,67","53,82%","337,71","61,83%","377,53","60,31%","187,27","62,60%","260,49","53,05%","271,88","65,65%","21,63%","60,31%","19,70%"
25911,METROPOLITANA VII,CE SANTA TEREZA,"87,10%","217,78","69,35%","362,79","51,61%","410,63","54,84%","308,48","77,42%","370,83","61,29%","407,67","87,10%","24,21%","54,84%","21,36%"
25912,METROPOLITANA VII,CE SAO BERNARDO,"66,76%","209,97","67,31%","326,55","49,51%","401,22","38,38%","239,18","67,89%","388,25","46,32%","371,93","66,76%","22,29%","38,38%","19,66%"
25913,METROPOLITANA VII,CE SARGENTO WOLFF,"77,08%","296,08","62,45%","388,91","60,08%","411,92","60,67%","363,00","54,15%","356,76","52,37%","422,92","77,08%","25,97%","60,67%","19,50%"
25914,METROPOLITANA VII,CE TENENTE OTAVIO PINHEIRO - BRASIL-RUSSIA,"56,64%","343,04","50,44%","525,07","44,22%","574,26","63,11%","410,60","48,98%","641,03","45,58%","527,16","56,64%","27,34%","63,11%","20,37%"
25915,METROPOLITANA VII,CE VARZEA DA ALEGRIA,"77,81%","362,64","77,81%","471,49","77,81%","489,29","76,53%","416,47","75,56%","479,32","76,21%","507,80","77,81%","27,03%","76,53%","21,63%"
